X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-16.69029	-2.127025
0	0	0	0	0	0	-13.8629	-1.915555
0	0	0	0	0	0	-8.531909	-0.31604
0	0	0	0	0	0	-1.494117	1.194871
0	0	0	0	0	0	2.299223	1.476377
0	0	0	0	0	0	3.59341	0.7713358
0	0	0	0	0	0	7.143899	-0.8611845
0	0	0	0	0	0	10.98513	-2.349474
0	0	0	0	0	0	13.76736	-2.366075
0	0	0	0	0	0	16.57717	-0.3181024
0	0	0	0	0	0	18.53361	0.6115994
0	0	0	0	0	0	19.19164	0.6846128
0	0	0	0	0	0	18.48426	0.7836248
0	0	0	0	0	0	17.35275	0.7475374
0	0	0	0	0	0	17.01127	1.268127
0	0	0	0	0	0	14.99494	1.06907
0	0	0	0	0	0	12.79531	0.9639404
0	0	0	0	0	0	8.648993	0.4197665
0	0	0	0	0	0	2.979199	0.228597
0	0	0	0	0	0	-1.998104	-1.024328
0	0	0	0	0	0	-4.939337	-3.198219
0	0	0	0	0	0	-8.537212	-2.572446
0	0	0	0	0	0	-11.06648	0.1260023
0	0	0	0	0	0	-14.07359	1.978585
0	0	0	0	0	0	-17.90851	1.771751
0	0	0	0	0	0	-18.24257	1.249369
0	0	0	0	0	0	-18.19635	-1.446289
0	0	0	0	0	0	-16.90058	-0.05853006
0	0	0	0	0	0	-10.04288	7.166039
0	0	0	0	0	0	-15.63718	-0.4104546
0	0	0	0	0	0	-14.39488	0.7014703
0	0	0	0	0	0	-11.88417	1.107113
0	0	0	0	0	0	-6.291843	0.7374108
0	0	0	0	0	0	1.016226	0.2440655
0	0	0	0	0	0	3.761129	-0.2080485
0	0	0	0	0	0	6.516962	-0.2589433
0	0	0	0	0	0	10.58838	-1.513878
0	0	0	0	0	0	13.34804	-2.24566
0	0	0	0	0	0	15.38528	-0.7383069
0	0	0	0	0	0	16.49973	0.9865478
0	0	0	0	0	0	16.86875	0.3731399
0	0	0	0	0	0	15.14928	-0.441384
0	0	0	0	0	0	15.0485	-0.06203125
0	0	0	0	0	0	15.74314	0.7782991
0	0	0	0	0	0	14.61117	1.134406
0	0	0	0	0	0	13.2099	1.940493
0	0	0	0	0	0	9.164992	1.704334
0	0	0	0	0	0	2.108019	1.078505
0	0	0	0	0	0	-3.108862	-1.274341
0	0	0	0	0	0	-4.939724	-3.474718
0	0	0	0	0	0	-5.874735	-3.424154
0	0	0	0	0	0	-9.222363	-1.607593
0	0	0	0	0	0	-13.61902	1.047921
0	0	0	0	0	0	-16.67074	2.879284
0	0	0	0	0	0	-17.27682	2.724854
0	0	0	0	0	0	-17.52771	1.133077
0	0	0	0	0	0	-17.33326	0.3295262
0	0	0	0	0	0	-13.95867	5.680218
0	0	0	0	0	0	-13.51336	-1.791555
0	0	0	0	0	0	-10.15674	0.190918
0	0	0	0	0	0	-5.685036	1.852228
0	0	0	0	0	0	0.379069	2.260396
0	0	0	0	0	0	2.417318	1.134223
0	0	0	0	0	0	3.558254	0.2397673
0	0	0	0	0	0	5.74648	-1.326701
0	0	0	0	0	0	8.712682	-1.788156
0	0	0	0	0	0	11.86768	-0.3401856
0	0	0	0	0	0	13.79932	0.5185033
0	0	0	0	0	0	15.42661	0.7126709
0	0	0	0	0	0	16.67881	0.4530843
0	0	0	0	0	0	16.78717	1.230575
0	0	0	0	0	0	15.17873	0.8572665
0	0	0	0	0	0	12.17417	-1.304709
0	0	0	0	0	0	7.644392	-4.945475
0	0	0	0	0	0	3.565356	-9.701465
0	0	0	0	0	0	1.285272	-14.83264
0	0	0	0	0	0	-0.5395973	-20.02127
0	0	0	0	0	0	-11.99058	-18.07288
0	0	0	0	0	0	-2.136544	-24.97731
0	0	0	0	0	0	-2.567383	-22.49953
0	0	0	0	0	0	-1.967235	-21.19191
0	0	0	0	0	0	-1.589258	-17.34329
0	0	0	0	0	0	-0.8090315	-13.3549
0	0	0	0	0	0	-1.044162	-8.585919
0	0	0	0	0	0	-1.393273	0.1049993
0	0	0	0	0	0	-0.7287109	9.104531
0	0	0	0	0	0	0.3545645	18.4558
0	0	0	0	0	0	0.4314528	11.94392
0	0	0	0	0	0	4.77041	21.37891
0	0	0	0	0	0	6.523036	21.83407
0	0	0	0	0	0	-0.4358286	24.9748
0	0	0	0	0	0	-2.242693	23.78179
0	0	0	0	0	0	-1.35236	17.86728
0	0	0	0	0	0	2.205227	10.26155
0	0	0	0	0	0	1.095732	-2.604291
0	0	0	0	0	0	-1.116486	-17.98198
0	0	0	0	0	0	-1.748104	-28.11106
0	0	0	0	0	0	-3.128163	-25.77112
0	0	0	0	0	0	-1.18888	-23.68769
0	0	0	0	0	0	0.2514312	-20.76876
0	0	0	0	0	0	-1.137793	-15.32959
0	0	0	0	0	0	-1.149675	-5.945703
