X(m)	Y(m)	Z(m)	YAW(degree)	PITCH(degree)	ROLL(degree)	PixelVel(x)	PixelVel(y)
0	0	0	0	0	0	-0.0114294	0.09065755
0	0	0	0	0	0	-0.01442308	-0.02185998
0	0	0	0	0	0	-0.01220703	0.008976863
0	0	0	0	0	0	0.01851852	0.08935547
0	0	0	0	0	0	-0.02394531	-0.01367188
0	0	0	0	0	0	0.02056885	-0.02321371
0	0	0	0	0	0	-0.02043269	0.05510066
0	0	0	0	0	0	0.0109375	0.04220703
0	0	0	0	0	0	0.01292067	0.02627329
0	0	0	0	0	0	-0.01965332	-0.00990804
0	0	0	0	0	0	0.009331597	0.03861039
0	0	0	0	0	0	-0.004785156	0.01560547
0	0	0	0	0	0	0.03578125	0.05333984
0	0	0	0	0	0	-0.02640475	0.03609525
0	0	0	0	0	0	0.02388822	-0.0249399
0	0	0	0	0	0	0.005896935	0.02841421
0	0	0	0	0	0	0.01322115	0.02903396
0	0	0	0	0	0	-0.001953125	0.006434849
0	0	0	0	0	0	-0.06238281	-0.1811523
0	0	0	0	0	0	-0.1151562	-0.01277344
0	0	0	0	0	0	-0.1056386	0.0663001
0	0	0	0	0	0	-0.06201172	-0.0935622
0	0	0	0	0	0	-0.01130559	-0.3960712
0	0	0	0	0	0	-0.05258577	-0.03965693
0	0	0	0	0	0	-0.005117187	0.1249414
0	0	0	0	0	0	-0.03876202	-0.0642841
0	0	0	0	0	0	0.02563477	0.05914307
0	0	0	0	0	0	-0.02414773	0.2553045
0	0	0	0	0	0	0.03434245	0.263265
0	0	0	0	0	0	0.05145733	-0.005295974
0	0	0	0	0	0	0.06496093	-0.195625
0	0	0	0	0	0	-0.0628756	-0.6188026
0	0	0	0	0	0	-0.07356063	-0.1302013
0	0	0	0	0	0	-0.003750888	0.448109
0	0	0	0	0	0	0.02023437	0.1069922
0	0	0	0	0	0	0.02480469	-0.2063086
0	0	0	0	0	0	0.01949056	0.241862
0	0	0	0	0	0	0.01710938	0.1508789
0	0	0	0	0	0	0.0278125	-0.388457
0	0	0	0	0	0	0.03285156	-0.002539062
0	0	0	0	0	0	-0.02424422	0.275518
0	0	0	0	0	0	0.01564535	-0.2361654
0	0	0	0	0	0	-0.06382813	-0.08021484
0	0	0	0	0	0	0.05183919	0.2130941
0	0	0	0	0	0	-0.02480934	-0.0476423
0	0	0	0	0	0	0.01707031	-0.2320313
0	0	0	0	0	0	0.08533654	0.2536997
0	0	0	0	0	0	0.7827786	0.7727794
0	0	0	0	0	0	0.5132812	0.08666015
0	0	0	0	0	0	-0.3777795	-0.2147874
0	0	0	0	0	0	-0.08398438	-0.1800977
0	0	0	0	0	0	-0.5860822	-0.127568
0	0	0	0	0	0	-0.01335938	-0.2373437
0	0	0	0	0	0	-0.1189528	-0.06080979
0	0	0	0	0	0	-0.03759766	-0.01410382
0	0	0	0	0	0	-0.02820312	-0.1037109
0	0	0	0	0	0	-0.02954102	-0.034729
0	0	0	0	0	0	0.04405799	0.151555
0	0	0	0	0	0	-0.008105469	0.09517578
0	0	0	0	0	0	0.01971905	-0.0302171
0	0	0	0	0	0	0.01691406	0.004082031
0	0	0	0	0	0	-0.03496094	0.08097656
0	0	0	0	0	0	-0.03376953	-0.07896484
0	0	0	0	0	0	0.01715088	-0.05466716
0	0	0	0	0	0	-0.01348407	0.1650578
0	0	0	0	0	0	0.05351562	0.04751953
0	0	0	0	0	0	-0.03279297	-0.1537695
0	0	0	0	0	0	0.05131022	0.03749593
0	0	0	0	0	0	0.001765325	0.1462215
0	0	0	0	0	0	-0.03072266	0.01988281
